"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020"
